x1,x2,x3,x4,y
3.480798133,0.97270861,1.336234266,0.885583204,2.695863346
3.302907003,2.346216056,0.074693445,1.865031729,16.92697161
2.377390956,3.881545418,2.23300392,3.585507937,21.79663056
2.655669118,2.175518795,1.872766376,1.005542916,5.346677435
0.657765083,3.008612112,3.435048028,0.224238422,2.365181351
0.863763998,3.423083776,1.806303489,3.062852365,2.462684187
2.859583052,2.614470723,1.022427475,2.753644084,15.96614635
0.698077615,3.793464909,1.831118446,3.09530049,2.009609482
0.368330354,0.515486951,2.009246669,3.725666099,-12.12587244
3.147185654,1.082847076,2.745401126,3.747104702,-5.638853206
1.195725937,3.222293474,0.764788309,2.615356297,7.096294603
1.368519384,2.325788946,2.446282084,2.46063493,2.765798655
1.871412504,3.306700339,1.225832436,3.097275959,13.39149524
3.441826608,2.578537786,1.743773432,2.714027517,17.73153001
3.771012216,3.376370407,2.113022788,0.727127905,8.884719799
2.058518775,0.909899084,3.606720146,1.242471462,-3.198536504
0.821819805,2.041204121,3.417292123,0.257174324,0.731381184
2.595835889,3.980779087,3.243998967,2.380981549,17.3415024
3.789374665,0.45231862,1.952664914,1.85626599,-3.081170874
0.533898313,2.670724005,1.913309403,2.599909429,-0.126662163
1.186227065,0.551868731,1.597438374,1.875587003,-2.016161524
1.42533202,2.301308791,1.925787021,2.594224036,3.222805413
2.076524754,2.366549672,2.219570404,3.423679257,5.273374135
1.261625982,2.168406253,1.798664683,1.198887243,3.377482219
3.390970285,2.98981664,1.615579023,2.01754527,17.36633881
2.037871833,2.16201477,0.447942661,3.354705588,7.099955489
0.297049352,2.094932938,2.25469522,3.886272652,-10.33427404
2.492896571,1.914681321,2.651479937,1.61520304,3.815530058
0.870309499,2.896265434,1.832986832,3.994737696,-3.612269053
1.837654727,2.433656541,3.114279752,1.912649532,4.207503895
3.056245875,0.105340479,3.693440751,0.833111801,-7.910915148
0.226544869,0.080670221,0.974583879,0.857875339,-0.116241678
0.10471372,1.33957892,0.015392529,1.688068535,-0.428356772
0.275256483,2.700984519,3.716924668,3.22283245,-5.635926166
0.45858709,0.627542411,2.614215957,3.600204109,-11.78546817
0.331296116,2.183732521,2.064515396,1.778948953,0.55435146
3.251679659,3.128762264,1.208745868,3.522033049,26.11430243
1.684847705,1.106772387,0.428905993,3.059225146,-1.540470813
0.480986054,3.093469975,0.951077395,2.586683431,0.638879797
2.703677584,2.023801517,3.127616295,3.173326648,3.765541637
1.028945524,3.52895818,2.42060721,1.523184204,5.606356949
3.700908628,2.383113755,2.306803497,0.49231573,1.648805528
1.686851105,0.266751108,3.631386191,1.731076189,-5.538742712
0.159430594,1.799176476,3.24461611,0.23194708,1.90046037
3.302034893,1.220298829,1.973734993,2.663106099,1.660659043
0.717925332,2.072474825,0.052521611,0.843897339,4.080609393
0.496786667,,1.255515445,2.689968169,1.734373696
0.812427521,3.842211217,3.786881598,0.8449711,3.746048346
3.514433297,3.275170649,3.256250103,1.496976344,10.55392406
3.082957649,2.117405833,0.91188345,3.616578517,13.80109721
3.411509474,3.144915519,1.603327388,3.45774286,26.39669618
1.246027591,3.917020174,2.540438578,0.636785876,4.731444516
3.281277197,0.308160128,1.372552448,3.527748168,-9.629003381
3.665934105,0.851733341,1.327803074,2.589432144,1.427565225
1.8033168,1.186989905,0.181758528,,3.434019163
3.646082337,2.76803211,3.83320343,1.863880337,7.833039261
3.969877638,1.322863477,2.871462423,0.58733554,-2.821822502
3.013815111,2.744308587,3.452347199,0.930463153,2.199297324
0.395017117,2.090618064,1.524669938,2.292233066,-1.051402949
1.60780032,0.742241814,3.211763408,3.206328522,-9.041986212
0.656583979,2.831831645,0.309898925,0.927781691,4.694793271
1.488905504,2.374416498,1.628808089,1.26248267,4.769386091
3.875770058,1.056168335,3.068904645,3.814931489,-5.239544763
1.506964233,2.501459626,3.607180456,3.900367068,-1.185762728
2.203856419,2.549400592,3.840164695,1.128026188,1.744471093
0.640649835,3.208399792,2.993206884,2.990429214,-0.241957522
0.179433587,3.245219188,3.245790742,3.012854511,-4.253538009
3.647608325,2.903117974,0.164954851,3.727793163,32.12865065
3.010075333,1.800508638,3.506315866,3.909643428,0.60523713
0.109944219,2.014551715,2.205179227,1.722220265,-0.136669806
3.541517315,0.693298282,2.117251683,1.900416346,-1.375071836
0.287101733,1.369061911,1.870316652,2.738271375,-4.681548238
2.541230766,1.440247614,0.297595865,1.397076536,7.009206813
2.454238036,2.94980915,0.394265831,0.604307313,9.426056456
2.628637227,3.832693859,0.634574301,3.3320989,27.29600546
1.905437677,2.974479998,0.004380403,3.209576899,12.97861342
1.648999471,1.616211307,3.920428151,0.076805177,-2.48050426
2.819211467,0.986307472,0.961146977,3.774788428,-2.574873792
0.068882054,1.129015803,3.557981348,1.503176486,-1.176559246
3.267277928,1.388746179,1.37776193,1.294087582,4.946118659
3.71853498,3.967152134,0.936252234,3.590665655,44.73521105
3.034835059,2.980450396,1.959995166,3.913564945,20.16347789
1.102602402,1.898609736,0.478921627,1.22738714,4.048067642
3.675759758,0.981046414,3.070977461,3.430766956,-5.800735992
0.982896089,2.887864866,1.605033331,0.979379477,4.586814567
0.909240177,3.673448848,3.918320784,3.869291916,-0.502867689
1.978543782,1.828420306,2.09896918,0.869972355,2.51947234
1.834670867,0.040258138,0.419321169,1.406562638,-0.07153266
1.221051361,0.393331442,3.891415502,0.452014473,-3.00882042
0.1514801,3.620986558,0.16107208,0.522270054,4.117142783
3.015617738,1.354379952,3.188547955,0.889501327,-2.24805132
1.732233917,0.659359127,0.483956515,3.110478721,-4.077135542
1.613080509,3.499274616,1.346466283,3.595803934,10.58160815
3.952002972,1.253713814,2.668566658,3.321675224,1.081277594
1.273999392,3.71774018,0.048231448,3.270647998,9.750484617
3.882667248,0.284363668,3.694472829,3.714383659,-19.72880397
2.884897121,0.12705042,1.739176988,3.26055436,-11.05937682
3.443466124,2.563294424,2.253622251,1.933974928,12.1939166
3.654294751,0.826136177,1.763961832,2.56615894,-0.202554282
